번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0080,DAY 03,양적,양적01,量的,헤아릴 량어조사 적,2015수능A,"관형사, , 명사","세거나 잴 수 있는 분량이나 수량과 관계된. 또는 그런 것.
¶ 양적 증가 / 경제 발전은 그것의 양적 증대는 물론, 참다운 삶의 질을 향상시킬
수 있는 질적 향상까지를 포함한다."
0081,DAY 03,위탁,위탁,委託,"맡길 위, 부탁할 탁",2015수능A,명사,"(1) 남에게 사물이나 사람의 책임을 맡김.
¶ 위탁 거래 / 위탁 교육 / 주인에게 그 물건을 위탁을 받고 보관 중이다.
(2) {법률} 법률 행위나 사무의 처리를 다른 사람에게 맡겨 부탁하는 일."
0082,DAY 03,운용,운용,運用,"돌 운, 쓸 용",2015수능A,명사,"무엇을 움직이게 하거나 부리어 씀.
¶ 자본의 운용 / 법의 운용을 멋대로 하다"
0083,DAY 03,선정,선정07,選定,"가릴 선, 정할 정",2015수능A,명사,"여럿 가운데서 어떤 것을 뽑아 정함. ≒ 초정
02(抄定)·택정(擇定).
¶ 작품 선정 / 사업자 선정 / 필자 선정."
0084,DAY 03,절감,절감02,節減,"마디 절, 덜 감",2015수능A,명사,"아끼어 줄임.
¶ 경비 절감 / 연료 절감 / 에너지 절감"
0085,DAY 03,발급,발급,發給,"쏠 발, 넉넉할 급",2015수능A,명사,"증명서 따위를 발행하여 줌. ≒ 발부01(發付).
¶ 카드 발급 / 민원서류 발급을 신청하다."
0086,DAY 03,근대,근대03,近代,가까울 근대신할 대,2015수능A/B,명사,"(1) 얼마 지나가지 않은 가까운 시대.
¶ 근대의 풍조.
(2) {역사} 역사의 시대 구분의 하나로, 중세와 현대 사이의 시대."
0087,DAY 03,중시,중시03,重視,"무거울 중, 볼 시",2015수능A/B,명사,"가볍게 여길 수 없을 만큼 매우 크고 중요하게 여김. ≒ 중시
03(重視)."
0088,DAY 03,논외,논외,論外,"말할 론, 밖 외",2015수능A/B,명사,"논의의 범위 밖.
¶ 그 문제는 일단 논외로 하고 본론으로 들어갑시다."
0089,DAY 03,자의적,자의적,恣意的,"방자할, 자, 뜻 의, 어조사, 적",2015수능A/B,"관형사, , 명사","일정한 질서를 무시하고 제멋대로 하는. 또는 그런 것.
¶ 자의적 판단"
0090,DAY 03,기여,기여04,寄與,"부칠 기, 줄 여",2015수능A/B,명사,"(1) 도움이 되도록 이바지함.
¶ 그는 팀 승리에 결정적인 기여를 한 선수이다.
(2) 물건을 부쳐 줌."
0091,DAY 04,환원,환원,還元,"돌아올 환, 으뜸 원",2015수능A/B,명사,"(1) 본디의 상태로 다시 돌아감. 또는 그렇게 되게 함. ‘되돌림’으로 순화.
(2) {철학} 잡다한 사물이나 현상을 어떤 근본적인 것으로 바꿈. 또는 그런 일.
(3) {화학} 산화물에서 산소가 빠지거나 어떤 물질이 수소와 결합하는 것, 원자·분자·이온
따위가 전자를 얻는 것, 물질 중에 있는 어떤 원자의 산화수가 감소하는 것을
이르는 말."
0092,DAY 04,성질,성질,性質,"성품 성, 바탕 질",2015수능A/B,명사,"(1) 사람이 지닌 마음의 본바탕.
¶ 성질 사나운 사람 / 성질이 못되다. / 성질이 급하다.
(2) 사물이나 현상이 가지고 있는 고유의 특성. ≒ 성분
03(性分).
¶ 화학적 성질 / 그 사건은 유사한 성질을 가지고 있다. / 사건의 종류와 성질에
따라 조사 방법을 달리했다. / 그 둘은 비교될 성질의 것이 아니다."
0093,DAY 04,타당성,타당성,妥當性,"온당할 타, 당할 당, 성품 성",2015수능A/B,명사,"(1) 사물의 이치에 맞는 옳은 성질.
¶ 타당성이 없다. / 타당성을 검토하다. / 이제 와서 그 일의 타당성 여부를 묻는
것이 무슨 소용이 있겠는가.
(2) {철학} 어떤 판단이 가치가 있다고 인식되는 일. 곧 어떤 판단이 진실인 경우에 그 판단
은 타당성이 있다고 한다."
0094,DAY 04,부류,부류02,部類,"거느릴 부, 무리 류",2015수능A/B,명사,"동일한 범주에 속하는 대상들을 일정한 기준에 따라 나누어 놓은 갈래.
¶ 닭과 오리는 같은 부류에 속한다. / 육지에서 사는 생물을 부류에 따라 나누어
보았다."
0095,DAY 04,국면,국면,局面,"판 국, 낯 면",2015수능A/B,명사,"(1) 어떤 일이 벌어진 장면이나 형편.
¶ 국면 전환 / 국면 타개 / 중대한 국면에 봉착하다 / 새로운 국면으로 접어들다
/ 어려운 국면으로 몰고 가다 / 쟁의가 장기화 국면에 들어섰다.
(2) {운동} 바둑이나 장기에서, 반면(盤面)의 형세를 이르는 말."
0096,DAY 04,관조,관조03,觀照,"볼 관, 비출 조",2015수능A/B,명사,"(1) 고요한 마음으로 사물이나 현상을 관찰하거나 비추어 봄.
¶ 관조는 하되 비판하지 말고, 분석은 하되 조급한 예언은 피해야 하는 거다.
≪이병주, 지리산≫
(2) {예술} 미(美)를 직접적으로 인식하는 일.
(3) {불교} 지혜로 모든 사물의 참모습과 나아가 영원히 변하지 않는 진리를 비추어 봄."
0097,DAY 04,차원,차원01,次元,"버금 차, 으뜸 원",2015수능A/B,명사,"(1) 사물을 보거나 생각하는 처지. 또는 어떤 생각이나 의견 따위를 이루는 사상이나 학식
의 수준.
¶ 차원이 낮은 영화 / 국가 차원에서 조사할 문제 / 한 차원 높은 대화 / 차원이
다른 의견 / 차원을 높이다. / 그는 신화를 문학적인 차원에서 연구했다.
(2) {물리} 물리량의 성질을 나타내는 것. 또는 물리량의 기본 단위와 유도 단위의 관계.
(3) {수학} 기하학적 도형, 물체, 공간 따위의 한 점의 위치를 말하는 데에 필요한 실수의
최소 개수. 직선은 1차원, 평면은 2차원, 입체는 3차원이지만 n차원이나 무한
차원의 공간도 생각할 수 있다."
0098,DAY 04,규범,규범01,規範,"법 규, 법 범",2015수능A/B,명사,"(1) 인간이 행동하거나 판단할 때에 마땅히 따르고 지켜야 할 가치 판단의 기준. ≒ 전경
(典經)(1).
¶ 행동 규범 / 도덕적 규범을 따르다. / 우리 조상들은 충효를 가장 중요한 생활
규범으로 삼아 왔다. / 그는 사회적 윤리 규범을 나름대로 지키면서 살아왔다
고 자부했다.
(2) {철학} 사유(思惟)나 의지, 감정 따위가 일정한 이상이나 목적을 이루기 위하여 마땅히
따르고 지켜야 할 법칙과 원리."
0099,DAY 04,예시,예시01,例示,"법식 례, 보일 시",2015수능A/B,명사,"예를 들어 보임. ≒ 시례
01(示例).
¶ 적절한 예시는 이해에 도움이 된다."
0100,DAY 04,고유하다,고유하다03,固有,"하다, 굳을, 고, 있을, 유",2015수능A/B,형용사,"본래부터 가지고 있어 특유하다.
¶ 우리나라의 고유한 전통문화 / 개개인의 고유한 특성 / 고유한 글을 가진 민족
은 세계에서 얼마 안 된다."
0101,DAY 04,미덕,미덕,美德,"아름다울, 미, 덕 덕",2015수능A/B,명사,"아름답고 갸륵한 덕행. ≒ 휴덕.
¶ 그는 항상 그렇듯이 실학자답게 이 두 가지의 미덕에 대하여도 실천에 옮길 수
있게 구체적으로 꼼꼼하게 가르쳤던 것이다. ≪한무숙, 만남≫"
0102,DAY 04,낱낱이,낱낱이,,,2015수능A/B,부사,"하나하나 빠짐없이 모두.
¶ 낱낱이 훑다 / 잘못된 것을 낱낱이 밝히다. / 자기의 죄를 낱낱이 고백하다. /
그의 죄과가 낱낱이 드러나다. / 경찰은 용의자의 일거수일투족을 낱낱이 감시
하고 있었다. / 음식 종류가 하도 많아서 낱낱이 열거할 수가 없다."
0103,DAY 04,심오하다,심오하다,深奧,"하다, 깊을, 심, 속, 오",2015수능A/B,형용사,"사상이나 이론 따위가 깊이가 있고 오묘하다.
¶ 심오한 진리 / 심오한 뜻을 담다."
0104,DAY 04,논변,논변,論辯論辨,"말할 론, 말 잘할, 변, 말할 론, 분별할 변",2015수능A/B,명사,"(1) 사리의 옳고 그름을 밝히어 말함. 또는 그런 말이나 의견.
¶ 두 사람은 이날 밤을 역리(易理) 논변으로 지새웠다. ≪한무숙, 만남≫
(2) 어떤 의견을 논하여 진술함.
(3) 문체의 하나. 논(論), 변(辯), 난(難), 의(議), 설(說), 해(解), 석(釋), 원(原), 대문(代問),
유(喩) 따위로 나눈다."
0105,DAY 04,단초,단초01,端初,"바를 단, 처음 초",2015수능A/B,명사,일이나 사건을 풀어 나갈 수 있는 첫머리.
0106,DAY 04,투쟁,투쟁,鬪爭,"싸움 투, 다툴 쟁",2015수능B,명사,"(1) 어떤 대상을 이기거나 극복하기 위한 싸움.
¶ 선과 악의 투쟁 / 그는 맹수와 투쟁을 벌였다.
(2) 사회 운동, 노동 운동 따위에서 무엇인가를 쟁취하고자 견해가 다른 사람이나 집단 간
에 싸우는 일.
¶ 독립 투쟁 / 정치적 투쟁 / 반정부 투쟁"
0107,DAY 04,무장,무장06,武裝,"굳셀 무, 꾸밀 장",2015수능B,명사,"(1) 전투에 필요한 장비를 갖춤. 또는 그 장비.
¶ 무장 군인 / 무장 병력 / 무장을 풀다 / 싸움이 일어날 것에 대비하여 충분한
무장을 하라.
(2) 어떤 일에 필요한 마음이나 사상, 기술이나 장비 따위를 단단히 갖춤을 비유적으로 이
르는 말.
¶ 사상 무장 / 우리는 그 많은 어려움을 정신 무장 하나로 버티고 있다."
0108,DAY 04,역설,역설01,力說,"힘 력, 말씀 설",2015수능B,명사,"자기의 뜻을 힘주어 말함. 또는 그런 말.
¶ 선생님의 역설에 귀를 기울이다."
0109,DAY 04,강경론,강경론,強硬論,"굳셀 강, 굳을 경, 말할 론",2015수능B,명사,"자기의 의견이나 입장을 절대로 타협하거나 굽히지 말아야 한다고 주장하는 논의.
¶ 그들은 강경론을 내세우며 상대 회사를 고소해야 한다고 주장했다."
0110,DAY 04,지향,지향02,志向,"뜻 지, 향할 향",2015수능B,명사,"(1) 어떤 목표로 뜻이 쏠리어 향함. 또는 그 방향이나 그쪽으로 쏠리는 의지.
¶ 평화 통일 지향 / 출세 지향 / 서구 지향 / 미래 지향의 생활 태도.
(2) {철학} 의식이 어떤 대상을 향하고 있는 일. 이러한 지향성은 브렌타노(Brentano,
Franz)에 의하여 심적 현상의 본질적인 성격이라고 규정되었다.
(3) {철학} 동기가 되는 목적의 관념이 아니라, 그것을 실현하는 데 필요한 수단과 예상되는
결과의 관념을 이르는 말."
0111,DAY 04,본위,본위,本位,"밑 본, 자리 위",2015수능B,명사,"(1) (흔히 명사 뒤에 쓰여) 판단이나 행동에서 중심이 되는 기준.
¶ 인물 본위의 인사 행정 / 흥미 본위로 이루어진 이야기
(2) 본디의 자리."
0112,DAY 04,자각,자각03,自覺,스스로 자깨달을 각,2015수능B,명사,"(1) 현실을 판단하여 자기의 입장이나 능력 따위를 스스로 깨달음.
¶ 자각 증세 / 민족의식의 자각 / 민주화 운동은 국민이 주인이라는 자각을 갖게
하였다.
(2) {심리} 자기 자신을 의식하는 상태."
0113,DAY 04,비로소,비로소,,,2015수능B,부사,"어느 한 시점을 기준으로 그 전까지 이루어지지 아니하였던 사건이나 사태가 이루어지거나
변화하기 시작함을 나타내는 말.
¶ 아들이 무사하다는 소식이 전해지자 비로소 어머니의 굳은 얼굴이 환해졌다."
0114,DAY 04,대응,대응02,對應,"대답할 대, 응할 응",2015수능B,명사,"(1) 어떤 일이나 사태에 맞추어 태도나 행동을 취함.
¶ 법적 대응 / 급변하는 사태에 대한 신속한 대응이 필요하다.
(2) 어떤 두 대상이 주어진 어떤 관계에 의하여 서로 짝이 되는 일.
¶ 대응 관계를 이루는 어구.
(3) {수학} 두 집합이 있을 때에 어떤 주어진 관계에 의하여서 두 집합의 원소끼리 짝이 되
는 일. ≒ 짝짐(1).
(4) {수학} 합동하는 두 도형의 서로 포개어지는 부분. 또는 닮은꼴인 두 도형에서 확대, 축
소에 의하여 포개어지는 부분. ≒ 짝짐(2)."
0115,DAY 04,민중,민중,民衆,"백성 민, 무리 중",2015수능B,명사,"국가나 사회를 구성하는 일반 국민. 피지배 계급으로서의 일반 대중을 이른다. ≒ 민서.
¶ 민중의 힘"
0116,DAY 04,설정,설정02,設定,"베풀 설, 정할 정",2015수능B,명사,"새로 만들어 정해 둠.
¶ 상황 설정 / 200해리 경제 수역 설정 / 목표 설정이 잘못되다."
0117,DAY 04,개별,개별,個別,"낱 개, 나눌 별",2015수능B,명사,"(주로 일부 명사 앞에 쓰여) 여럿 중에서 하나씩 따로 나뉘어 있는 상태.
¶ 개별 행동 / 개별 면담"
0118,DAY 04,지속,지속01,持續,"가질 지, 이을 속",2015수능B,명사,"어떤 상태가 오래 계속됨. 또는 어떤 상태를 오래 계속함.
¶ 지속 가능성 / 약효의 지속 시간 / 물가 상승의 지속."
0119,DAY 04,파급,파급,波及,"물결 파, 미칠 급",2015수능B,명사,"어떤 일의 여파나 영향이 차차 다른 데로 미침.
¶ 정치적 파급 / 파급이 예상되다."
0120,DAY 04,실현,실현,實現,"열매 실, 나타날 현",2015수능B,명사,"꿈, 기대 따위를 실제로 이룸. ‘실제 이루어짐’으로 순화.
¶ 꿈의 실현 / 실현 단계 / 복지 사회 실현 / 이번 계획은 실현 가능성이 높다."
0121,DAY 05,우월,우월02,優越,"뛰어날 우, 넘을 월",2015수능B,명사,"다른 것보다 나음.
¶ 경제적 우월 / 신체적인 우월 / 우월 의식 / 우월을 느끼다."
0122,DAY 05,침략,침략02,侵略,침노할 침다스릴 략,2015수능B,명사,"정당한 이유 없이 남의 나라에 쳐들어감.
¶ 침략 전쟁 / 대륙 침략에 나서다. / 침략에 대항하다. / 침략을 감행하다."
0123,DAY 05,대항,대항,對抗,"대답할 대, 막을 항",2015수능B,명사,"(1) 굽히거나 지지 않으려고 맞서서 버티거나 항거함. ‘맞서 싸움’으로 순화.
¶ 민주적 대항 세력
(2) (일부 명사 뒤에 쓰여) 그것끼리 서로 겨룸.
¶ 학교 대항 축구 경기 / 각 도 학생 대항 연극 공연"
0124,DAY 05,동화,동화02,同化,"한가지 동, 될 화",2015수능B,명사,"(1) 성질, 양식(樣式), 사상 따위가 다르던 것이 서로 같게 됨.
¶ 자연과의 동화 / 감정의 동화가 일어나다. / 원만한 사회생활을 위해선 주변 사
람들과의 동화가 필요하다.
(2) 밖으로부터 얻어 들인 지식 따위를 완전히 자기 것으로 만듦.
(3) {언어} 말소리가 서로 이어질 때, 어느 한쪽 또는 양쪽이 영향을 받아 비슷하거나 같은
소리로 바뀌는 소리의 변화를 이르는 말. ≒ 닮음(2)."
0125,DAY 05,압제,압제,壓制,"누를 압, 마를 제",2015수능B,명사,"권력이나 폭력으로 남을 꼼짝 못하게 강제로 누름.
¶ 압제를 받다. / 가난과 압제에 시달리다. / 압제에서 벗어나다. / 압제에 항거하
다."
0126,DAY 05,위선,위선04,僞善,"거짓 위, 착할 선",2015수능B,명사,"겉으로만 착한 체함. 또는 그런 짓이나 일.
¶ 양반들의 위선을 풍자한 소설 / 위선과 허위에 가득 찬 세상 / 위선을 벗기다."
0127,DAY 05,참되다,참되다,,,2015수능B,형용사,"진실하고 올바르다.
¶ 인간은 잘살기보다 참되게 살기가 더 어렵다."
0128,DAY 05,긴밀히,긴밀히,緊密,"히, 굳게얽을, 긴, 빽빽할, 밀",2015수능B,부사,"서로의 관계가 매우 가까워 빈틈이 없이.
¶ 관계를 긴밀히 하다. / 양국이 경제 분야에서 긴밀히 협조하기로 합의했다."
0129,DAY 05,잔재,잔재02,殘滓,"남을 잔, 찌꺼기 재",2015수능B,명사,"(1) 쓰고 남은 찌꺼기. ≒ 잔사
03(殘渣).
(2) 과거의 낡은 사고방식이나 생활 양식의 찌꺼기.
¶ 봉건주의의 잔재를 청산하다."
0130,DAY 05,사익,사익,私益,"사사 사, 더할 익",2015수능B,명사,"개인의 이익.
¶ 그는 사익을 돌보지 않고 사회를 위해 헌신했다."
0131,DAY 05,확립,확립,確立,"굳을 확, 설 립",2015수능B,명사,"체계나 견해, 조직 따위가 굳게 섬. 또는 그렇게 함.
¶ 질서 확립 / 기강 확립을 강조하다. / 새 왕조는 통치 체제의 확립에 주안점을
두었다."
0132,DAY 05,위축,위축02,萎縮,"마를 위, 줄일 축",2015수능B,명사,"(1) 마르거나 시들어서 우그러지고 쭈그러듦.
¶ 찬 바람이 불면서 모든 사물이 위축과 조락, 사멸에 이르렀다.
(2) 어떤 힘에 눌려 졸아들고 기를 펴지 못함.
¶ 심리적 위축 / 생산 활동의 위축
(3) {생물} 정상적으로 발달한 생물체의 기관, 조직 따위의 크기나 기능이 줄어드는 일. 주
로 영양 공급에 지장이 있을 경우나 신경 계통의 장애, 호르몬의 이상, 방사선
의 조사(照射) 따위에 의하여 생긴다. 노인성인 것, 생리적인 것이 있다."
